normalized,diplomatic
bizantium,Bizantium
bizacena,Bizazena
blemmye,Blemii
boeotia,Boetia
bogdada,Bogdada
bonacon,Bonachus
bononia francia,bononia
bononia italia,Bononia
boreus fl.,Boreus
boreus c.,Boreus
bosphorus,Bosforus
bosos,Bosos
bracara c.,Bracara
bragmania r.,Bragmania
bragmania c.,Bragmania
bragmani g.,Bragmani
brigantia,Brigantia
britannia,Britannia
britannia minor,Briannia minor
britannicum m.,Britannicum
britannicus s.,Britannicus
brucii,Britia
brixia,Brixia
brixon fl.,Brixon
brundisium,Brundusium
brucii,Bruttii
burdigala,Burdegala
burgundia,Burgundia
burgundiones,Burgundiones
cabilones,Cabilones
cadurx,Cadurx
calabria r.,Calabria
calaminica,Calaminica
chalearsus lacus,Calcarsus
calcedonia c.,Calcedonia
calipso i.,Calipso
calpes m.,Calpe
cameleopardus,Cameleopardus
cameracus,Cameracus
campania,Campania
campi c.,Campi
canaria i.,Caninaria
canopus i.,Canopia
catabathmon m.,Cantabathmon
cantabria,Cantabria
cantabricus s.,Cantabricus
capernaum,Capharnaum
capadocia c.,Cappadocia
capadocia r.,Cappadocia
capria i.,Capria
capsa colim,Capsa Colim
capua,Capua
cariz m.,Carais
caralitani,Caralitani
caria,Caria
carmea,Carmea
carmelus c.,Carmelus
carmelus m.,Carmelus
carnotum,Carnotum
carpatium mare,Carpaium
carpatos i.,Carpatos
carra,Carra
cartago in africa,Carthago
carthagensis mare,Carthaginense
caspie p.,Caspie Porte
caspium mare,Caspium
caspius m.,Caspius
catalonia,Cathalaunus
cathmorum,Cathmi
caucasus m.,Caucasus
cedar,Cedar
cenneret,Cenereth
cinocephales,Cenocephali
cenomanis,Cenomannis
centumcellis,Centumcellis
cerastes,Cerastes
ceronia,Ceronia
cersona,Cersona
cervi,Cervi
cesar augusta c.,Cesaraugusta
cesarea in capadocie,Cesarea Capadocie
cesarea in palestine,Cesarea Palestine
cesarea philippi,Cesarea Philippi
cesaria in mauritania,Cesaria
ceutria,Ceutria
chadesbarne,Chadesbarne
chaldea,Chaldea
cana,Chana
carras,Charra
chios,Chion
chobar fl.,Chobar
colchos i.,Cholcos
choos,Choos
cyclades,Cyclades
cidnus fl.,Cignus
cilicia,Cilicia
cilicus s.,Cilicus sinus
cimera m.,Cimera
cimericum mare,Cimericum
cinopodes,Cinopodes
circapolis,Circapcolis
cisame,Cisame
citherea i.,Citherea
clarus m.,Clarus mons
claudiopolis,Claudiopolis
climax m.,Climax
clipea,Clipea
coaspis,Coaspis
cocadrillus,Cocodrilli
colonia,Colonia
colubraria i.,colubraria
commagena,Commagena
constantia,Constantia
constantinopolis,Constantinoplis
convenarum,Convenarum
corcyra,Corcira
cordoba,Corduba
corinthus c.,Corinthius
cornelli forum,Cornelli forum
cornicularia,Cornicularia
chorazin,Corozaim
corsica,Corsica
cosium,Cosium
creta,Creta
crise,Crise
cristoas,Crisortoas
cucim c.,Cucim oppidum
cyprium mare,Cyprium
cyprus,Cyprus
cirene,Cyrene
dacia,Daci
dalmatia,Dalmatia
delminium c.,Dalmis
damascus,Damascus
dan fl.,Dan
danaper fl.,Danapes
danubius fl.,Danubius
dara fl.,Dara
decusa,Decusa
delos i.,Delos
delphi,Delphi
delsephon,Delsephon
derbant,Derbant
didime i.,Didime
dioscorus,Dioscorus
dirracium,Dirracium
domin,Domin
donimus,Donimus
dordonia,Dordonia
dorstedas,Dorstedas
dravus fl.,Drabo
draco,Draco
durentia,Durentia
durius,Durius
eborica,Ebroas
ebos fl.,Ebrus
ebusus i.,Ebusus
echbatanis,Echbatanis
ctesiphon,Ectesifon
edessa,Edissa
edua,edua
aegeum mare,Egeum
egyptus d.,Egypti deserta
egyptus plana,Egypti plana
egyptium mare,Egytium
egyptus,Egyptus
egyptus inferior,Egyptus inferior
egyptus superior,Egyptus superior
elam,Elam
elamite,Elamite
elefantes,Elefantes
hellada,Elladas
hellespontus,Ellespontus
emaus,Emaus
emerita,Emerita
emilia,Emilia
moisselon emporium,Emporium Moisselon
engloisma,Engloisma
enoch,Enoch
enon,Enon
eous o.,Eous
ephesus,ephesus
epiphania,epiphania
epiroea,Epiroea
epirus,Epirus
equinus,Equinus
eraclea in asia minor,Eraclea
eraclea in boeotia,Eraclea
eraclea in pannonia,Eraclea
eraus,Eraus
erea,Erea
eridanus,Eridanus
ericusa i.,Erifusa
erimantus,Erimantus
hermus fl.,Ermus
hesperia c.,Esperia
hesperidum i.,Esperidum
ethiemens,Ethiemens
ethiopia,Ethiopia
ethiopia occidentalis,Ethiopica Egyptus
ethiopia egyptus,Ethiopica Egyptus
ethiopia orientalis,Ethiopica India
ethiopia india,Ethiopica India
etruria,Etruria
euphrates fl.,Eufrates
europa,Europa
euxinus pontus,Eusinus Pontus
euxis fl.,Eusis
evilath,Evilath
evonia,Evonia
exargus,Exargus
farat,Farath
farus,Farus
fasidis,Fasidis
fauni,Fauni
fenicus i.,Fenicus
ferrea,Ferrea
festia,Festia
flaminia,Flaminia
fontes,Fontes
formica,Formice
fortunate,Fortunate
forum julii,Forum Iulii
franci g.,Franci
francia,Francia
frigia,Frigia
frigia maior,Frigia maior
frigia minor,Frigia minor
frisia,Frisia
futensis,Futensis
futh,Futh
gades,Gades
gaditanum fretum,Gaditanum fretum
galathe,Galathe
galatia,Galathia
galgala,Galgala
galigardamena,Galigardamena
galilea,Galilea
galli g.,Galli
gallia,Gallia
gallia belgica,Gallia Belgica
gallia celtica,Gallia Celtica
gallia cisalpina,Gallia Cisalpina
gallia narbonensis,Gallia Narbonensis
gallia translapina,Gallia Transalpina
galicia,Galicia
gallicum mare,Gallicum
galloreci,Gallocreci
gangarida,Gangarida
gangines ethiopes,Gangines Ethiopes
ganges fl.,Gangis
garema,Garama
garamantes,Garamanti
gargala,Gargala
garonna,Garonna
gaudonia,Gaudonia
gaulonum i.,Gaulonum
gaza,Gaza
gazari g.,Gazari
gehenna,Gehenna
gelboe m.,Gelboe
geloni,Geloni
gennesar l.,Genesareth
gennabus,Gennabus
germania,Germania
getulia,Geth
gethsuri,Gethsuri
gigantes,Gigantes
gog,Gog
goren,Goren
gorgades i.,Gorgodes
gorgoneos,Gorgoneos
gortina,Gortina
gothia,Gothi
gratianopolis,Gratianopolis
grecia,Grecia
grifes,Grifi
guisara,Guisara
gutalas,Gutalas
geon fl.,Gyon
hadrumetum,Hadrumetus
hai,Hai
heliopolis,Heliopolis
helles fl.,Helles
helvetii,Helvetii
columpne herculis,Herculis Columpne
heriforum,Heriforum
hermon m.,Hermon
hiberia inferior,Hiberia inferior
hiberia superior,Hiberia superior
hibericum mare,Hibericum
hibernia,Hibernia
hiberis fl.,Hiberus
hyrcani g.,Hircani
hispania,Hispania
hispanicum mare,Hispanicum
psambari,Auribus carentes
bicipites,Bicipites
linguis carentes,Linguis carentes
sine naribus,Naribus carentes
quatuor oculos,Quatuor oculos habentes
labro prominente g.,Qui labro subteriori faciem tegunt
qui nunquam igne utuntur,Qui nunquam igne utuntur
qui se in mare precipitant,Qui se in mare precipitant
ora conserta g.,Ore carentes
sine capite,sine capite
solis carnibus viventes,Solis carnibus viventes
horeb m.,Hor
horrea josep,horrea Ioseph
hrohes,Hrohes
hus,Hus
hylerdis c.,Hylerdis
hyperboreus,Hyperboreus
hyrcania inferior,Hyrcania inferior
hyrcania superior,Hyrcania superior
hystmos,Hystmos
histria,Hystria
jaculus,Iaculus
iadera,Iadera
janua,Ianua
icarium mare,Icarium
iconium c.,Iconium
ictiofagorum i.,Ictiofagi
idumea,Idumea
jericho,Ierico
jerusalem,Ierusalem
ilium,Ilium
illiricum r.,Illiricum
illiricus s.,Illiricus
imolas,Imolas
incubi,Incubi
india,India que finem facit
india,India que mittit ad Medos
india,India que mittit ad Parthos
indicus o.,Indicus
indus fl.,Indus
iona fl.,Iona
ionium mare,Ionium
ioppe,Ioppe
jor fons,Ior
jordanis fl.,Iordanis
italia,Italia
judea,Iudea
junonia,Iunonia
juranus,Iuranus
carnotum,Karnotum
canusius,Kanusius
lacedemonia c.,Lacedemonia
lacedemonia r.,Lacedemonia
langlaria,Langlaria
laodicia,Laodicia
lanius,Lanius
larissa,larissa
lates fl.,Lasec
laudunus,laudunus
leapitinia,Leapitina
lebraha,Lebraha
lecenna,Lecenna
lemannus fl.,Lemannus
lemovica,Lemovica
leodium,Leodium
leones,Leones
leptis,leptis
lesaria,lesaria
letheus fl.,Letheus
leucaton,Leucaton
leuti p.,Leuti portus
libani m.,Libanus
libia,Libia
libia africana,Libia Africana
libia cirenensis,Libia Cirenensis
libia ethiopes,Libia Ethiopum
libia pentapolis,Libia Pentapolis
libicum mare,Libicum
libie d.,Libie deserta
liburnia r.,Liburnia
liburnicus s.,Liburnicus
licaonia,Licaonia
licia,Licia
lidia,Lidia
ligeris fl.,Ligeris
liguria,Liguria
liguricus s.,Liguricus
lilibeum,Lilibeum
lingonum,Lingonum
listra,Listris
lixus c.,Lix
lixus fl.,Lixus
lorum,Lorum
lotharingia,Lotharingia
lucania,Lucania
luceria,Luceria
luceni,Lucerni
lugdunum,Lugdunensis
lugdunum,Lugdunus
luxovium,Luxovium
liparis i.,Lypparis
macedonia,Macedonia
macedonicus s.,Macedonicus
magdalus c.,Magdalum
grecia magna,Magna Grecia
magnum mare,Magnum
magog,Magog
magolona,Magolona
magontia,Maguntia
malichu i.,Malius
malva fl.,Malua
mantua,Mannia
manticora,Manticora
mara,Mara
marcomanni,Marcomanni
margus,Margus
marmini,marmaredes
maroch,Maroch
martionopolis,Martionopolis
massilia,Massilia
matisconum,Matisconum
matrona,Matrona
mauritania,Mauritania
mauritania cesariensis,Mauritania Cesariensis
mauritania sitifensis,Mauritania Sitifensis
mauritania tingitana,Mauritania Tingitana
mauritanicum mare,Mauritanicum
meander,Meander
media r.,Media
mediolanum,Mediolanum
mediomatricum c.,Mediomatricum
megara,Megara
meldis,Meldis
melena,Melena
melita,Melita
melos i.,Melos
memarmoli m.,Memarmoli
membriona,Membriona
menapi,Menapi
menela c.,Menela
menelaus m.,Menelaus
memphis,Menphis
meotides paludes,Meotide Paludes
meroe i.,Meroe
moesia,Mesia
mesopotamia,Mesopotamia
messana,Messana
messia i.,messia
messia c.,messia
messicus s.,Messicus
metis,Metis
metona,Metona
mevania,Mevania
miletus,Miletus
mineus fl.,Mineus
mirteum mare,Mirteum
mogona,Mogona
monasteria monachorum egyptiorum,Monasteria Monachorum Egyptiorum
monopodes,Monopodes
cassinus m.,Mons Cassinus
morini,Morini
mortuum mare,Mortuum
mosa fl.,Mosa
mosella,Mosella
nabath,Nabath
nadaver,Nadaver
nametis,Namnetis
nani,Nani
narbona c.,Narbona
narbonensis r.,Narbonenses
nasamones,Nasamones
noxon,Noxon
nazareth,Nazareth
neapolis,Neapolis
neamusium,Nemausium
nametis,Nemetum
neustria,Neustria
nicaea,Nicea
nicomedia,Nichomedia
nicopolis,Nichopolis
nuchul fl.,Nichul
nicopolis,Nicopolis (in Palestina)
nilus,Nilus
nineveh,Ninive
nisa,Nisan
nisibi,Nisibi
nivaria i.,Nivaria
nivernis,Nivedunu
noricus,Noricus
normannia,Northmannia
noviomus,Noviomus
nubie p.,Nubie Porte
nubii g.,Nubii
numides g.,Numides
numidia,Numidia
numidicus s.,Numidicus
nursia,Nursia
occea,Occea
occhus,Occhus
occidentalis o.,Occidentalis
octogora c.,Octogorra
octogora fl.,Octogorra
olympia c.,Olimpia
olympus m.,Olimpus
oliveti m.,Oliveti
onagri,Onagri
orcades i.,Orchades
organus,Organus
orientalis o.,Orientalis
ortigia,ortigia
oruns,Oruns
oscobares m.,Oschobares
oximus,Oximus
pachinum,Pachinum
pactolus fl.,Pactulus
padus fl.,Padus
palestina,Palestina
pamphilium mare,Pamphilium
pamplona,Pampolana
pandea g.,Pandea
panisus,Panisus
pannonia,Pannonia
panorma,Panorma
panotii,Panotii
pantaris c.,Pantaris
panther,Panther
paphos,Paphos
papia,Papia
par,Par
paranda,Paranda
parchoatras m.,Parchoatras
paretonium,Paretonium
parisius,Parisius
parma,parma
paros,Paros
parthan in armenia c.,parthan
parthia r.,Parthia
parthia in parthia c.,Parthia
pathmos,Pathmos
patras,Patras
pelorum m.,Pelorum
pelusium c.,Pelusium
pelusium fl.,Pelusium
pelusium s.,Pelusium
bergomum,Pergamum
pergamus,Pergamus
persia,Persia
persepolis,Persipolis
persicus s.,Perticus
perusium,Perusina
pestum,Pestum
petra,Petragora
phatures,Phatures
phenicia,Phenicia
phenicis mare,Phenicis
philadelphia,Philadelphia
are philenorum,Philenorum are
piscinus,Picenus
pictavis c.,Pictavis
pigmei,Pigmei
pirenei m.,Pirenei
pisa,Pisa
piscaria fl.,Piscaria
pitavium,Pitavium
placentia,Placentia
polibota,Polibotra
poros,Poros
prester,Prester
prochenissa i.,Proconissa
propontis mare,Propontis
provincia r.,Provinicia
prusias c.,Prusias
psilli,Psilli
ptolomais,Ptolomais
punici,Punici
ramesses,Ramesses
ransburg,Ransburg
ravenna,Ravenna
reate,Reate
redonis,Redonis
regium,Regium
remis,Remis
retia,Rethia
retia maior,Rethia prima
retia minor,Rethia secunda
renus fl.,Rhenus
rodus,Rhodus
rodanus fl.,Rhodanus
riphei m.,Riphei
robasci,Robasci
roma,Roma
rothomagum,rothomagus
rubrum mare,rubrum
rupis,Rupis
ruscia,russicada
ruthupi portus c.,Ruth
ruthenus c.,Ruthenus
saba,Sabea
savus fl.,Sabo
sabrata,Sabreta
sagagdan,Sagagdan
sagiensis,Sagiensis
sagitarii,Sagitarii
sagomna,Sagomna
sala c.,Sala
sala fl.,Sala
salamina,Salamina
saldis c.,Saldis
sale c.,Sale
salerna,Salerna
saline,Saline
salmon,Salmon
saltus,Saltus
samara m.,Samara
samo fl.,Samo
samos i.,Samos
sancti jacobi c.,Sancti Iacobi
santonum,Sanctonas
sannium,Sannium
safris,Saphra
sardinia,Sardinia
sardinicum mare,Sardinicum
sardis,Sardis
sardum mare,Sardum
sarepta,Sarepta
sarmatica r.,Sarmate
sarmathana c.,Sarmathana
sarraceni nabatehi,Sarraceni nabatehi
satyri,Satyri
saxones,Saxones
saxonia,Saxonia
scaldus,Scaldus
scena fl.,Scena
scinize,Scinize
sithe,Scitie
scythia,Scithia
scythia inferiore,Scithia inferior
scythia superiore,Scithia superior
scythiopolis,Scithopolis
scorpiones,Scorpiones
scotia,Scoti
scupis,Scupis
sebastea in palestina,Sebastea
sebastia in egyptus,Sebastia
sebastia pentapolis,Sebastia
seyr m.,Seir
seleucia in siria,Seleucia
seleucia in mesopotamia,seleucia
senogallia,Senogallia
senonis,Senonenses
septem oppidum,Septem oppidum
septentrion o.,Septentrionalis
sequana fl.,Sequana
sequani,Sequani
seres c.,Seres
sericus mare,Sericum
serpentes,Serpentes
sessia,Sessia
sestos c.,Sestos
sichem,Sichem
sicilia,Sicilia
siculum,siculum
sidon i.,Sidonia
sigau,Sigau
siler fl.,Siler
silvanectum,Silvanectum
sinnada,Sinnada
sipontus,Sipontus
siracusa,Siracusana
siraph,Siraph
sirtes,Sirtes
sitifis c.,Sitifis
sochoth,Socoth
soloe,Soloe
somena,Somena
spoletum,Spoletum
stoecades,Stoecades
strasburg,Straburg
stridonis i.,Stridonis
strimon fl.,Strimon
stripodes,Stripodem
strongile,Strongile
subentani,Subentani
suessionum,Suessionum
suevus m.,Suevus
suevia,Suevia
susis,Susis
sidon c.,Sydonia
sina m.,Syna
syon m.,Syon
siria,Syria
syrmium,Syrmium
sirtes minores,Syrtes minores
tabraca,Tabraca
tagapi,Tagapi
tagus fl.,Tagus
taprobana,Taprobana
tapson i.,Tapson
tarentus,Tarentus
tarvenna,Tarvenna
tatus c.,Tatus
tauri,Tauri
tarominitani,Taurominitani
taurus m.,Taurus
tea,Tea
templum ammonis,Templum Ammonis
tenedos i.,Tenedos
theode,Teode
terracona i.,Terracona
tabor m.,Thabor
tafnis,Thafnis
tanais fl.,Thanais
thanatos,Thanatos
tarsus,Tharsus
thebe in egyptus,Thebe
thebe in boeotia,Thebe
theodosia,Theodosia
theodosipolis,Theodosipolis
terasia,Therasia
thessalia,thessalia
thessalonica,Thessalonica
teutonica,Theutonica
timavus m.,Timavus
temiscerii campi,Timiscerii campi
tingis,Tingis
toglit,Toglit
tolosa,Tolosa
tornacus,Tornacus
tracia r.,Tracia
tragata,Tragata
tragelafi,Tragelafi
trecas,Trecas
treodenus,Treodenus
treveris c.,Treveris
tripolitana r.,Tripolitana
triton fl.,Triton
trogodite,Trogodite
tuburbis,Tuburbis
tuburbitani,Tuburbitani
tudertina,Tudertina
tullo,Tullo
tungris,Tungris
turchi,Turchit
turonis,Turonis
turris in sardinia,Turris
tuscia,Tuscia
tussa,Tussa
tyatira c.,Tyatira
tiberias,Tyberias
tiberis fl.,Tyberis
tybut,Tybut
tycinum,Tycinum
tigris r.,Tygris
tigris fl.,Tygris
tyle,Tyle
tylos,Tylos
tyrenum mare,Tyrrenum
tyrus,Tyrus
ulbienses,Ulbienses
ulca,Ulca
umbria r.,Umbria
unicornes,Unicornes
ursi,Ursi
valencia,Valentia
valeria,Valeria
varunna,Varunna
velabri g.,Velabri
venetia,Venetia
venetia,Venetia
vensura,Vensura
veredunus,Veredunus
verona,Verona
vesulus m.,Vesulus
vicenus,Vicenus
vienna,Vienna
vincentia,Vincentia
vulcano i.,Vulcanie
wandalia r.,Wandala
wandali g.,Wandali
warmatia,Warmatia
waconia,Wasconia
icaria i.,Ycaria
icarium mare,Ycarium
idri marini,Ydri marini
himantipodes,Ymantipodes
inachus fl.,Ynacus
ipodes,Ypodes
hippo r.,Ypone Regius
hipotami,Ypotami
isara fl.,Ysara
isauria,Ysauria
zeugis r.,Zeugis
zimus,Zimus
zmirna,Zmirna
subsolanus v.,subsolanus
wulturnus v.,wulturnus
eurus v.,eurus
auster v.,auster
zephirus v.,zephirus
chorus v.,chorus
septentrio v.,septentrio
circius v.,circius
boreus v.,boreas
euroauster v.,euroauster
austerafricus v.,austroafricus
africus v.,africus
